,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Longitude,Latitude
87,Saint-Philippe,RE,73.60,88,15,3.6,55.7679,-21.3585
88,Zyryanka,RU,-13.18,89,100,1.7,150.85,65.75
89,Coihueco,CL,84.20,42,40,6.17,-71.8333,-36.6167
90,Paamiut,GL,31.19,98,98,3.28,-49.6678,61.994
91,Cuiluan,CN,3.40,92,0,0.63,128.648,47.72
92,Góra Kalwaria,PL,35.87,75,75,8.75,21.2154,51.9765
93,Berlevåg,NO,17.82,79,20,3.09,29.0864,70.8578
94,Heihe,CN,3.20,78,0,3,127.4902,50.2441
95,Newark,US,40.42,28,20,4.63,-74.1724,40.7357
96,Bongandanga,CD,74.52,80,100,0.9,21.05,1.5
97,Iqaluit,CA,-2.09,71,90,5.14,-68.5145,63.7506
98,Uglich,RU,14.92,96,99,2.88,38.3317,57.5275
99,Guerrero Negro,MX,64.89,57,6,7.03,-114.0611,27.9769
100,San Quintín,MX,60.73,64,69,5.93,-115.95,30.4833
101,Ibrā’,OM,65.68,57,0,1.17,58.5334,22.6906
102,Marabu,MY,77.00,100,40,1.03,114.0089,4.4148
103,Rawson,AR,83.26,17,0,12.61,-65.1023,-43.3002
104,Wexford,IE,39.04,75,0,1.03,-6.4575,52.3342
105,Puerto Ayora,EC,84.16,74,20,3.09,-90.3518,-0.7393
106,Alofi,NU,82.40,89,75,3.6,-169.9187,-19.0595
107,Río Gallegos,AR,55.40,22,20,17.49,-69.2181,-51.6226
108,Emirdağ,TR,33.17,91,89,1.84,31.15,39.0197
109,Ahipara,NZ,65.10,63,97,5.78,173.1667,-35.1667
110,Kongolo,CD,67.23,95,100,1.12,27,-5.3833
111,Cabo San Lucas,MX,76.28,46,1,5.66,-109.9124,22.8909
112,Tegul'det,RU,9.27,96,100,2.44,88.1667,57.3064
113,Talnakh,RU,-11.61,89,100,2.76,88.3972,69.4865
114,Beyneu,KZ,28.56,88,0,5.03,55.2,45.3167
115,Port Moresby,PG,73.40,100,20,2.57,147.1797,-9.4431
116,Sisimiut,GL,15.78,94,99,6.91,-53.6735,66.9395
117,Kruisfontein,ZA,69.01,82,81,1.79,24.7314,-34.0033
118,Constitución,CL,72.21,60,2,8.42,-72.4167,-35.3333
119,Khatanga,RU,-26.73,86,90,3.77,102.5,71.9667
120,Neftçala,AZ,41.18,68,40,7.39,49.2472,39.3742
121,Mahébourg,MU,78.80,89,40,3.09,57.7,-20.4081
122,Santa Luzia,BR,78.19,61,75,4.12,-43.8514,-19.7697
123,Gurlan,UZ,44.65,66,0,4.12,60.3919,41.8447
124,Boa Vista,BR,78.80,83,75,11.83,-60.6733,2.8197
125,Asău,RO,38.07,38,0,5.66,26.4,46.4333
126,Semnan,IR,48.96,48,100,3.11,53.3971,35.5729
127,Carnarvon,AU,77.00,100,0,3.6,113.6333,-24.8667
128,Adrar,MR,69.94,23,3,4.68,-10.0711,20.5022
129,Saint Anthony,US,54.14,47,1,8.75,-93.218,45.0205
130,Great Yarmouth,GB,36.82,81,0,1.03,1.7305,52.6083
131,Port Lincoln,AU,60.04,84,15,7.34,135.8667,-34.7333
132,Shingū,JP,51.71,89,100,3.9,135.9833,33.7333
133,Pangkalanbuun,ID,71.58,96,100,1.09,111.6167,-2.6833
134,Mountain Home,US,51.80,40,1,2.57,-115.6912,43.133
135,Stawell,AU,60.75,61,99,2.26,142.7667,-37.05
136,Lensk,RU,19.58,96,69,3.13,114.9278,60.7253
137,Ancud,CL,60.33,55,40,6.17,-73.8203,-41.8697
138,Boyolangu,ID,74.25,86,98,2.02,111.8935,-8.1181
139,Kavaratti,IN,82.06,71,0,4.35,72.642,10.5669
140,Hithadhoo,MV,83.41,69,0,4.67,73.0833,-0.6
141,Kizema,RU,9.90,95,100,3.54,44.8302,61.113
142,Manokwari,ID,76.48,76,100,1.46,134.0833,-0.8667
143,Hualmay,PE,77.94,66,71,4.57,-77.6139,-11.0964
144,Ukiah,US,56.07,47,1,3.38,-123.2078,39.1502
145,Santa Rita,BR,84.20,74,20,5.14,-34.9781,-7.1139
146,Dubica,BA,32.00,80,0,1.04,16.8094,45.1767
147,Batagay-Alyta,RU,-17.48,77,100,1.04,130.4114,67.8006
148,Opuwo,NA,70.86,48,18,2.42,13.84,-18.0607
149,Villanueva,HN,82.69,69,75,7.2,-88,15.3167
150,Erbil,IQ,50.00,62,9,1.54,44.0106,36.1926
151,Nola,IT,52.66,82,40,0.51,14.5329,40.922
152,Nouadhibou,MR,68.00,68,0,9.77,-17.0347,20.931
153,Esperance,AU,62.60,94,90,2.06,121.9,-33.8667
154,Eskilstuna,SE,30.78,43,20,4.63,16.5077,59.3666
155,Port Macquarie,AU,63.48,99,38,0.45,152.9167,-31.4333
156,George Town,MY,77.49,94,20,1.54,100.3354,5.4112
157,Cascas,PE,62.60,67,90,3.09,-78.8167,-7.4833
158,Sol'-Iletsk,RU,3.09,91,0,4.07,54.9918,51.1631
159,Bratsk,RU,19.40,58,99,6,101.6142,56.1325
160,Scarborough,GB,37.42,87,66,2.11,-0.4044,54.2797
161,Isangel,VU,75.20,83,20,5.03,169.2667,-19.55
162,Port-Gentil,GA,82.40,78,20,2.06,8.7815,-0.7193
163,San Policarpo,PH,78.78,82,100,7.21,125.5072,12.1791
164,Metu,ET,67.15,53,43,1.24,35.5833,8.3
165,Zhangye,CN,37.62,62,0,0.53,100.4517,38.9342
166,Half Moon Bay,US,55.94,76,1,6.69,-122.4286,37.4636
167,Taltal,CL,71.78,63,22,3.7,-70.4833,-25.4
168,Amahai,ID,76.89,82,54,2.75,128.9167,-3.3333
169,San Carlos,VE,95.22,33,82,1.65,-68.5827,9.6612
170,Kaitangata,NZ,52.00,71,86,3.58,169.8464,-46.2817
171,Provideniya,RU,30.74,97,100,8.19,-173.3,64.3833
172,Yar-Sale,RU,-22.95,86,88,3.3,70.8333,66.8333
173,Verkhoyansk,RU,-22.14,81,100,1.08,133.385,67.5447
174,Faanui,PF,82.17,76,100,8.1,-151.75,-16.4833
175,Coyhaique,CL,57.20,44,75,4.63,-72.0662,-45.5752
176,Airai,TL,58.78,100,15,0.23,125.4092,-8.9266
177,Clyde River,CA,-18.40,69,1,2.37,-68.5914,70.4692
178,Cape Town,ZA,61.77,72,20,5.14,18.4232,-33.9258
179,Aquiraz,BR,82.08,83,40,1.54,-38.3911,-3.9014
180,Saint-Nazaire,FR,39.85,56,0,3.09,-2.2,47.2833
181,Bilibino,RU,-26.84,78,100,1.27,166.4372,68.0546
182,Tiksi,RU,-16.53,87,100,3.2,128.8694,71.6872
183,Avarua,CK,82.40,83,20,2.06,-159.775,-21.2078
184,Shakawe,BW,69.69,54,0,1.37,21.85,-18.3667
185,Barrow,US,-16.60,69,90,6.69,-156.7887,71.2906
186,Meulaboh,ID,77.36,81,87,0.39,96.1285,4.1363
187,Pueblo Nuevo,MX,75.18,19,0,4.08,-105.3833,23.3833
188,Zeya,RU,-2.76,91,100,1.52,127.2667,53.75
189,Portsmouth,GB,36.00,100,4,1.15,-1.0913,50.799
190,Portland,US,45.95,71,40,4.63,-122.6762,45.5234
191,Flic en Flac,MU,79.97,89,40,3.09,57.3631,-20.2742
192,Havelock,US,51.44,46,20,5.66,-76.9013,34.8791
193,East London,ZA,71.04,80,81,2.96,27.9116,-33.0153
194,Prachatice,CZ,27.46,72,0,1.16,13.9975,49.0129
195,Bethel,US,36.54,30,1,3.09,-73.414,41.3712
196,Mar del Plata,AR,80.60,41,0,6.17,-57.5575,-38.0023
197,Komádi,HU,28.81,74,0,3.09,21.5,47
198,Port Hardy,CA,42.80,81,75,4.12,-127.4199,50.6996
199,Batemans Bay,AU,55.85,95,27,0.45,150.1833,-35.7167
200,Lüderitz,NA,67.01,66,0,7.81,15.1594,-26.6481
201,Tuatapere,NZ,53.01,72,81,6.71,167.6833,-46.1333
202,Tabou,CI,79.47,85,22,3.52,-7.3528,4.423
203,Vardø,NO,24.80,74,75,5.14,31.1107,70.3705
204,Hamilton,US,48.13,22,1,3.6,-84.5333,39.1834
205,Back Mountain,US,32.56,51,48,2.24,-75.9963,41.3359
206,Diego de Almagro,CL,82.60,23,0,6.26,-70.05,-26.3667
207,Fairbanks,US,10.90,78,90,2.06,-147.7164,64.8378
208,Pisco,PE,78.22,61,20,9.77,-76.2167,-13.7
209,Eureka,US,54.36,61,96,2.68,-124.1637,40.8021
210,Severo-Kuril'sk,RU,15.13,91,96,11.57,156.125,50.6789
211,Nikolskoye,RU,20.62,86,90,6,30.7861,59.7035
212,Jutaí,BR,79.23,94,100,0.73,-68.9,-5.1833
213,Reserva,BR,71.98,93,19,0.85,-50.8506,-24.6503
214,Basoko,CD,72.39,90,94,0.66,23.616,1.2391
215,Santiago,CL,87.91,39,0,3.6,-70.6483,-33.4569
216,Peterhead,GB,42.28,93,40,1.54,-1.7981,57.5058
217,Antalaha,MG,75.70,87,99,2.25,50.2788,-14.9003
218,Mount Isa,AU,80.60,50,64,5.66,139.5,-20.7333
219,Kasongo-Lunda,CD,70.65,92,100,0.97,16.8167,-6.4667
220,Chkalovskoye,RU,11.52,95,2,1.99,133.0436,44.8392
221,Hāthras,IN,71.13,26,0,1.96,78.05,27.6
222,Touros,BR,84.20,70,20,4.63,-35.4608,-5.1989
223,Uzhur,RU,7.57,89,54,1.89,89.8339,55.3036
224,Lompoc,US,55.35,67,90,4.12,-120.4579,34.6391
225,Kahului,US,73.53,57,40,8.23,-156.47,20.8947
226,Acapulco de Juárez,MX,86.00,62,1,3.09,-99.8901,16.8634
227,Camabatela,AO,63.97,83,100,1.15,15.375,-8.1881
228,Nizwá,OM,68.23,33,0,0.98,57.5333,22.9333
229,Ngaoundéré,CM,71.60,21,0,0.96,13.5833,7.3167
230,Atambua,ID,73.13,91,39,0.75,124.8925,-9.1061
231,Norman Wells,CA,-0.40,65,75,7.2,-126.8329,65.282
232,Jingdezhen,CN,42.89,91,43,1.34,117.2079,29.2947
233,Tasiilaq,GL,33.80,86,90,16.46,-37.6368,65.6145
234,San Luis,AR,91.38,24,0,4.1,-66.3356,-33.295
235,Birin,NP,52.02,59,0,2.13,88.0718,26.8865
236,Ilulissat,GL,19.40,68,75,4.12,-51.1,69.2167
237,Grindavik,IS,41.00,87,75,7.72,-22.4338,63.8424
238,El Pueblito,MX,80.60,21,20,4.12,-100.45,20.5333
239,Pokhara,NP,59.95,34,0,2.05,83.9833,28.2333
240,Novy Urengoy,RU,-18.17,89,82,0.69,76.6333,66.0833
241,Nuuk,GL,29.21,100,75,3.09,-51.7216,64.1835
242,Flinders,AU,64.99,88,39,0.45,150.8552,-34.5833
243,Saskylakh,RU,-27.31,84,100,1.44,114.0833,71.9167
244,Shellbrook,CA,42.80,42,20,8.23,-106.4011,53.2168
245,Esim,GH,81.07,85,24,3.63,-2.2405,4.8699
246,Bom Jesus,BR,83.91,76,17,2.1,-44.3586,-9.0744
247,Santa Maria,BR,80.60,47,0,4.12,-53.8069,-29.6842
248,Lavrentiya,RU,29.57,98,100,13.08,-171,65.5833
249,Sibu,MY,75.07,100,40,0.51,111.8167,2.3
250,Hobyo,SO,78.22,80,16,6.78,48.5268,5.3505
251,Solwezi,ZM,62.96,96,100,1.14,26.3894,-12.1688
252,Nanortalik,GL,30.74,98,100,4.66,-45.2371,60.1432
253,Kharan,PK,63.66,25,0,5.42,65.4167,28.5833
254,El Rosario,MX,81.18,32,1,5.66,-107.1828,24.2556
255,Panzhihua,CN,48.99,61,0,0.35,101.7128,26.5851
256,Petropavlovsk-Kamchatskiy,RU,-7.60,59,0,3,158.6483,53.0452
257,Naze,JP,62.20,91,52,2.47,129.4833,28.3667
258,Tabat,ID,70.57,94,87,0.34,115.2274,-2.635
259,Krasnoarmiys'k,UA,29.32,90,17,7.46,37.1758,48.282
260,Nishihara,JP,64.83,77,75,4.53,127.7558,26.1842
261,Masunga,BW,66.20,94,0,0.51,27.4488,-20.6246
262,Aklavik,CA,-11.20,64,40,2.57,-135.0107,68.2191
263,Sioux Lookout,CA,42.80,42,90,7.2,-91.917,50.1001
264,Sørland,NO,32.00,86,40,4.12,12.6934,67.667
265,Pucallpa,PE,86.00,66,75,3.09,-74.5539,-8.3791
266,Abu Kamal,SY,61.25,33,0,2.51,40.9171,34.4506
267,Ponta do Sol,PT,55.22,76,67,1.34,-17.1,32.6667
268,Massakory,TD,82.45,11,0,5.59,15.7293,12.996
269,Marivan,IR,41.27,66,1,0.57,46.176,35.5219
270,Itapirapuã,BR,80.46,80,49,2.31,-50.6133,-15.8233
271,Matagami,CA,10.40,48,1,3.09,-77.6328,49.7502
272,Bundaberg,AU,74.23,78,90,2.06,152.35,-24.85
273,Santo Antônio da Platina,BR,78.12,78,60,1.18,-50.0772,-23.295
274,Baykit,RU,13.28,92,100,3.58,96.37,61.67
275,Souillac,MU,78.80,89,40,3.09,57.5167,-20.5167
276,Ponta Delgada,PT,62.60,88,40,3.6,-25.6667,37.7333
277,Pingyi,CN,39.18,70,100,1.49,117.6308,35.5006
278,Khangah Dogran,PK,60.98,56,0,2.37,73.6231,31.8317
279,Luanda,AO,80.60,83,40,3.09,13.2343,-8.8368
280,Kudahuvadhoo,MV,81.99,75,0,5.44,72.8944,2.6708
281,Fortuna,US,53.73,54,1,4.63,-124.1573,40.5982
282,Aljezur,PT,53.33,85,43,4.72,-8.8033,37.3191
283,Mehamn,NO,18.45,79,20,3.09,27.8492,71.0357
284,Nome,US,29.46,93,90,6.69,-165.4064,64.5011
285,Geraldton,AU,77.00,57,0,7.72,114.6,-28.7667
286,Kununurra,AU,80.60,94,28,2.94,128.7333,-15.7667
287,Līvāni,LV,26.40,95,100,5.35,26.1758,56.3543
288,Esso,RU,-22.34,78,25,2.72,158.7,55.9333
289,San Patricio,US,69.26,43,75,8.75,-97.5169,28.017
290,Marion,US,48.79,25,40,1.08,-86.1555,39.7684
291,Inta,RU,-20.60,88,13,1.48,60.1659,66.0317
292,Tadpatri,IN,75.51,38,0,2.59,78.0167,14.9167
293,Gunjur,GM,73.40,64,0,4.63,-16.7339,13.2019
294,Egvekinot,RU,-2.24,95,100,8.54,-179.1667,66.3167
295,Leningradskiy,RU,-15.45,87,100,3.48,178.4167,69.3833
296,Cayenne,GF,82.36,70,20,6.17,-52.3333,4.9333
297,Itarema,BR,78.87,85,100,5.81,-39.9167,-2.9248
298,Adré,TD,75.04,14,77,6.77,22.2,13.4667
299,Road Town,VG,79.99,69,40,5.14,-64.6167,18.4167
300,Along,IN,56.10,69,1,0.95,94.7667,28.1667
301,Padang,ID,73.40,100,75,1.54,100.3543,-0.9492
302,Kalininsk,RU,26.33,93,100,9.84,44.4758,51.5
303,Atherton,GB,41.52,72,1,0.89,-2.4935,53.5237
304,Tondano,ID,73.40,94,20,0.3,124.9112,1.3038
305,Mayumba,GA,79.56,82,41,1.93,10.6554,-3.432
306,Nybro,SE,31.98,51,75,4.63,15.9071,56.7446
307,Cham,CH,40.24,87,75,1.27,8.4636,47.1821
308,San Juan,AR,96.31,20,0,2.59,-68.5364,-31.5375
309,Kemijärvi,FI,14.27,95,100,0.35,27.4306,66.7131
310,Quatre Cocos,MU,79.95,89,40,3.09,57.7625,-20.2078
311,Inuvik,CA,-18.40,76,43,3.09,-133.7218,68.3499
312,Trebišov,SK,31.89,55,0,3.6,21.7195,48.6286
313,Te Anau,NZ,42.04,81,37,0.33,167.7167,-45.4167
314,Pagsañgahan,PH,77.36,84,100,6.31,122.5431,13.2158
315,Bolgatanga,GH,92.44,26,66,0.83,-0.8514,10.7856
316,Kieta,PG,76.91,88,100,2.56,155.6333,-6.2167
317,Srednekolymsk,RU,-18.42,87,100,4.92,153.6833,67.45
318,Husavik,IS,33.80,75,0,3.28,-17.3389,66.0449
319,Guangshui,CN,42.22,81,93,1.48,113.9978,31.6199
320,Jilib,SO,76.12,79,0,4.31,42.7854,0.4883
321,Uray,RU,0.01,94,95,1.65,64.7758,60.1247
322,Kampot,KH,80.60,74,20,2.57,104.1833,10.6167
323,High Prairie,CA,32.00,69,98,3.09,-116.4858,55.4334
324,Falun,SE,30.09,55,90,4.63,15.626,60.6036
325,Jaisalmer,IN,76.12,31,0,3.58,70.9181,26.9147
326,Yichun,CN,1.65,94,28,0.46,128.9,47.7
327,Sur,OM,71.74,53,0,1.47,59.5289,22.5667
328,Sungai Raya,ID,75.85,86,94,0.91,108.9,0.7
329,Biu,NG,79.43,16,22,4.48,12.1946,10.6129
330,Dwārka,IN,75.67,82,0,4.62,68.9678,22.2394
331,Bathsheba,BB,82.40,57,75,11.32,-59.5167,13.2167
332,Kuah,MY,80.31,83,20,0.51,99.8432,6.3265
333,Beringovskiy,RU,19.51,95,45,7.67,179.3167,63.05
334,São Francisco,BR,82.20,74,62,0.8,-44.8644,-15.9486
335,Yulara,AU,71.60,49,40,3.09,130.9889,-25.2406
336,Broome,US,26.65,50,1,5.14,-75.833,42.2506
337,Namatanai,PG,78.60,79,100,2.18,152.4333,-3.6667
338,Roald,NO,31.71,86,0,3.6,6.1333,62.5833
339,Bubaque,GW,76.46,72,19,6.51,-15.8333,11.2833
340,Khomeyn,IR,46.60,47,77,1.85,50.0789,33.6423
341,Stephenville,US,63.25,24,1,4.63,-98.2023,32.2207
342,Korla,CN,45.27,54,100,3.84,86.1469,41.7597
343,Missoula,US,46.94,53,90,3.09,-113.8009,47.0166
344,Huilong,CN,49.12,92,9,0.89,121.655,31.8111
345,Zamora,EC,69.80,83,90,4.63,-78.9567,-4.0692
346,Hasaki,JP,41.68,87,75,4.12,140.8333,35.7333
347,Anchorage,US,18.68,86,1,1.54,-149.9003,61.2181
348,Sangar,RU,-15.34,86,100,6.61,127.4739,63.9242
349,Roslavl',RU,21.67,93,33,4.23,32.8639,53.9528
350,Sumbe,AO,78.49,81,100,5.24,13.8437,-11.2061
351,Bambanglipuro,ID,76.10,83,100,1.83,110.2833,-7.95
352,Malanje,AO,64.74,95,100,0.79,16.341,-9.5402
353,Madimba,TZ,79.68,80,100,3.21,40.3333,-10.4
354,Fort Frances,CA,50.00,43,1,4.12,-93.4003,48.5999
355,Lorica,CO,87.93,62,40,6.12,-75.8135,9.2365
356,Arman',RU,-13.88,76,10,2.83,150.1667,59.7
357,Kalāleh,IR,47.17,76,52,1.88,55.4916,37.3807
358,Olovyannaya,RU,7.77,94,27,2.09,115.5667,50.95
359,Magole,TZ,71.76,83,100,1.51,37.3667,-6.3667
360,Jiuquan,CN,36.46,62,0,1.95,98.5174,39.7432
361,Narsaq,GL,30.20,86,75,3.09,-46.05,60.9167
362,Bose,IT,41.36,82,0,0.46,8.0137,45.4612
363,Dingle,PH,73.80,90,100,3.47,122.6711,10.9995
364,Gijang,KR,37.40,81,0,3.09,129.2139,35.2442
365,Waipawa,NZ,54.95,82,90,4.63,175.5153,-41.4122
366,Nhulunbuy,AU,78.80,94,40,2.06,136.7667,-12.2333
367,Kalemie,CD,70.84,87,100,5.94,29.1947,-5.9475
368,Bermeo,ES,46.13,87,75,2.06,-2.7215,43.4209
369,Alyangula,AU,78.80,94,75,4.45,136.4192,-13.8483
370,Herat Province,AF,48.52,51,0,1.89,62,34.5
371,Coquimbo,CL,64.40,82,75,5.14,-71.3436,-29.9533
372,Kabompo,ZM,63.34,95,25,1.73,24.2008,-13.5927
373,Wattegama,LK,74.12,92,0,1.62,81.4808,6.7989
374,Yakeshi,CN,4.64,91,0,1.36,120.7333,49.2833
375,Aden,YE,78.89,63,52,4.41,45.0367,12.7794
376,Khojaly District,AZ,35.80,85,100,2.79,46.7903,39.913
377,Kindu,CD,69.26,98,100,1.55,25.95,-2.95
378,Huéscar,ES,45.45,87,90,0.47,-2.5412,37.811
379,Mastic Beach,US,37.42,35,1,4.12,-72.8521,40.7668
380,Beloha,MG,70.75,86,0,2.77,45.05,-25.1667
381,Marsh Harbour,BS,68.77,76,54,12.84,-77.0636,26.5412
382,Owosso,US,35.87,32,1,2.06,-84.1766,42.9978
383,Changji,CN,28.40,93,75,2,87.3167,44.0167
384,San Vicente,AR,85.71,27,0,1.26,-54.1333,-26.6167
385,Peringat,MY,77.00,88,20,1.26,102.2833,6.0333
386,Saryozek,KZ,33.71,86,95,0.77,77.9753,44.3583
387,Gigmoto,PH,77.67,81,96,4.67,124.39,13.7796
388,Trstená,SK,25.93,51,0,6.17,19.6125,49.361
389,King City,US,55.44,47,100,3.15,-121.126,36.2127
390,Kjøllefjord,NO,22.33,93,75,3.6,27.3465,70.9457
391,Vung Tau,VN,79.14,74,25,11.15,107.0843,10.346
392,Picota,PE,73.40,100,90,5.14,-76.3304,-6.9197
393,Windhoek,NA,69.80,52,95,2.57,17.0832,-22.5594
394,Aranos,NA,77.92,32,59,5.4,19.1167,-24.1333
395,Vanimo,PG,76.59,84,100,1.91,141.3028,-2.6741
396,Amapá,BR,78.31,94,100,1.86,-52,1
397,Barcelona,ES,54.46,94,20,1.54,2.159,41.3888
398,Vila Franca do Campo,PT,62.60,88,40,3.6,-25.4333,37.7167
399,Ulety,RU,16.23,93,89,1.79,112.4849,51.3572
400,Madera,US,56.34,63,100,1.79,-119.8343,37.1666
401,Coos Bay,US,49.30,66,90,5.66,-124.2179,43.3665
402,Almaznyy,RU,28.40,80,0,8,40.045,48.0448
403,Miquelon,PM,32.00,69,75,8.75,-56.3814,47.0975
404,Karratha,AU,80.53,79,3,4.64,116.8463,-20.7377
405,Orlik,RU,8.82,86,47,2.15,99.825,52.5178
406,Mergen,CN,6.13,93,0,2.79,125.2167,49.1833
407,Petropavlovka,RU,19.44,88,24,1.92,105.3196,50.6114
408,Vestmannaeyjar,IS,43.50,72,73,9.73,-20.2734,63.4427
409,Lira,UG,78.17,32,61,2.36,32.9097,2.235
410,Huangmei,CN,42.57,87,53,2.36,116.025,30.1924
411,Kabinda,CD,63.90,97,100,1.74,24.4833,-6.1333
412,Hervey Bay,AU,75.00,72,70,0.45,152.8535,-25.2986
